          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
         
node   2 sent_total    520  recv_total    527

node   3  (   1,    0) (   0,    0) (   4,    2) (  14,    5) (  16,    9) (  34,   19) (  45,   38) (  12,   19) (  12,   28) (   3,    3)
          (   3,    5) (   4,    3) (   0,    0) (   0,    1) (   7,    1) (   1,    1) (   3,    2) (   4,    4) (   2,    9) (   3,    3)
          (   0,    0) (   1,    0) (   6,    0) (   2,    3) (   0,    0) (   0,    0) (   1,    6) (   0,    0) (   0,    1) (   0,    0)
          (   9,    9) (   4,    3) (   5,    5) (   1,    2) (   0,    0) (   2,    0) (   2,    1) (   1,    1) (   2,    3) (   1,    3)
          (   3,    3) (   2,    1) (   1,    1) (   0,    1) (   2,    2) (   5,    1) (   3,    2) (   4,    4) (   1,    2) (   2,    6)
          (   1,    1) (   1,    0) (   2,    0) (   4,    3) (   0,    0) (   1,    1) (   1,    2) (   1,    3) (   2,    3) (   0,    0)
          (   2,    2) (   3,    2) (   2,    2) (   1,    2) (   0,    0) (   1,    1) (   3,    2) (   3,    3) (   3,    4) (   3,    3)
          (   0,    0) (   4,    1) (   3,    3) (   2,    1) (   8,    8) (   2,    4) (   6,    5) (   0,    2) (   1,    2) (   1,    1)
          (   1,    1) (   2,    1) (   5,    5) (   2,    3) (  10,   10) (   2,    2) (   5,    4) (   2,    2) (   0,    1) (   0,    0)
          (   2,    0) (   3,    2) (   2,    0) (   2,    3) (   2,    4) (   0,    0) (   1,    2) (   0,    0) (   0,    1) (   6,    4)
          (   4,    4) (   5,    4) (   2,    2) (   1,    4) (   0,    0) (   2,    0) (   4,    3) (   2,    2) (   4,    5) (   5,    7)
          (   1,    1) (   2,    1) (   1,    1) (   0,    1) (   4,    4) (   3,    3) (   6,    5) (   1,    1) (   2,    3) (   0,    0)
          (   0,    0) (   3,    0) (   3,    1) (   4,    5) (   3,    3) (   4,    6) (   6,    7) (   0,    0) (   1,    2) (   1,    1)
          (   0,    0) (   4,    3) (   1,    1) (   3,    4) (   1,    1) (   2,    2) (   3,    0) (   0,    0) (   0,    1) (   4,    0)
          (   5,    3) (   2,    1) (   1,    1) (   1,    6) (   2,    6) (   0,    0) (   2,    1) (   1,    1) (   5,    6) (   4,    4)
